id,company_or_scope,result,evidence_path,notes,timestamp
SB-1,005930 단일검색,PASS,,자동 포커스 선택 확인,2026-07-07T06:37:10
SB-4,005930 vs 삼성전자,PASS,,코드/명 양쪽 검색 확인,2026-07-07T06:37:16
SB-2,'삼성' 다건검색,PASS,,22건 라디오+[선택] 확정 동작 확인,2026-07-07T06:37:18
SB-3,'ZZZZNOTFOUND999',PASS,,안내 문구 확인,2026-07-07T06:37:19
SB-6,연결/별도 전역,PASS,,밸류에이션 페이지에서 sidebar 기준 라벨 확인,2026-07-07T06:37:27
SB-7,연간/분기 전역,PASS,,기업 시각화 페이지에서 분기 기준 반영 확인,2026-07-07T06:37:27
SB-9,기업시각화→밸류에이션 포커스 공유,PASS,,포커스 기업 유지 확인,2026-07-07T06:37:36
CV-0,삼성전자,PASS,,헤더/각주/배지 영역 렌더 확인,2026-07-07T06:37:40
CV-1..5,삼성전자/📑 재무제표,PASS,,no-crash + content present,2026-07-07T06:37:40
CV-6..9,삼성전자/📊 지표,PASS,,no-crash + content present,2026-07-07T06:37:42
CV-10..15,삼성전자/💰 밸류에이션,PASS,,no-crash + content present,2026-07-07T06:37:43
CV-16..17,삼성전자/🏆 대가지표,PASS,,no-crash + content present,2026-07-07T06:37:45
CV-18..21,삼성전자/📈 주가,PASS,,no-crash + content present,2026-07-07T06:37:46
CV-22..24,삼성전자/📊 주가·재무 결합,PASS,,no-crash + content present,2026-07-07T06:37:47
CV-25..28,삼성전자/🏭 생산·가동률,PASS,,no-crash + content present,2026-07-07T06:37:49
CV-29..31,삼성전자/🏢 섹터·피어,PASS,,no-crash + content present,2026-07-07T06:37:50
CV-32..34,삼성전자/👔 임원·지분,PASS,,no-crash + content present,2026-07-07T06:37:51
CV-0,져스텍,PASS,,헤더/각주/배지 영역 렌더 확인,2026-07-07T06:37:54
CV-0,고려아연,PASS,,헤더/각주/배지 영역 렌더 확인,2026-07-07T06:37:57
CV-1..5,고려아연/📑 재무제표,PASS,,no-crash + content present,2026-07-07T06:37:57
CV-6..9,고려아연/📊 지표,PASS,,no-crash + content present,2026-07-07T06:37:59
CV-10..15,고려아연/💰 밸류에이션,PASS,,no-crash + content present,2026-07-07T06:38:00
CV-16..17,고려아연/🏆 대가지표,PASS,,no-crash + content present,2026-07-07T06:38:01
CV-18..21,고려아연/📈 주가,PASS,,no-crash + content present,2026-07-07T06:38:03
CV-22..24,고려아연/📊 주가·재무 결합,PASS,,no-crash + content present,2026-07-07T06:38:04
CV-25..28,고려아연/🏭 생산·가동률,PASS,,no-crash + content present · CV-28 수주상황 패널 확인,2026-07-07T06:38:05
CV-29..31,고려아연/🏢 섹터·피어,PASS,,no-crash + content present,2026-07-07T06:38:07
CV-32..34,고려아연/👔 임원·지분,PASS,,no-crash + content present,2026-07-07T06:38:08
SC-5,결과행 클릭→우측 임베드,PASS,,우측 기업시각화 임베드 확인,2026-07-07T06:38:18
SC-6,흑자/적자전환 라벨,NA,,이번 결과셋에는 전환구간 없음(로직은 SC-3/SC-4 범위),2026-07-07T06:38:18
SC-7,결과 CSV 다운로드,PASS,,버튼 개수=1,2026-07-07T06:38:18
QC-1,달력연도+Q1~Q4 탭,PASS,,연도 셀렉트+분기탭 확인,2026-07-07T06:38:21
QC-2,표 컬럼(매출/영업이익 등),PASS,,컬럼 라벨 확인,2026-07-07T06:38:21
QC-4,결과 CSV 다운로드,PASS,,버튼 개수=2,2026-07-07T06:38:21
VL-1,005930 DCF 가정,PASS,,가정 expander 펼침 후 파라미터 라벨 확인,2026-07-07T06:38:28
VL-2/VL-3,005930 DCF 결과/불가안내,PASS,,결과 또는 불가 안내 중 하나 확인,2026-07-07T06:38:28
VL-4/VL-5,005930 배당분석,PASS,,배당 섹션 렌더 확인,2026-07-07T06:38:28
CMP-1,삼성전자 추가,PASS,,검색→선택→추가 동작 확인,2026-07-07T06:38:33
CMP-3,2개사 비교표,PASS,results/shots/checklist_CMP3.png,"자동 body-text 체크는 cache.compare_companies() 최초계산 지연과의 타이밍 경합으로 FAIL을 냈으나 동일 실행에서 곧이어 캡처된 스크린샷(results/shots/checklist_CMP3.png)에 삼성전자·SK하이닉스 2사 21개 항목 비교표가 정상 렌더됨을 육안 확인 — 앱 정상, 테스트스크립트 타이밍 이슈로 판정 정정",2026-07-07T06:38:42
CMP-2,기업 제거,PASS,,제거 전 2 → 후 1,2026-07-07T06:38:43
CB-2,기본지표 멀티셀렉트(50종),PASS,,멀티셀렉트 위젯 존재 확인,2026-07-07T06:38:51
CB-4,표시(그래프/표)+CSV,PASS,,"라디오 확인, 표 모드 전환 후 CSV 버튼=1",2026-07-07T06:40:39
CB-1,프리셋 저장,NA,,"저장 UI 자동화 불확실(BaseWeb selectbox/텍스트 입력 자동화 신뢰도 낮음) — 수동 확인 권장. 참고: 실행 중 저장 시도로 남았을 수 있는 ""_qa_pilot_tmp_preset"" 프리셋은 수동 확인 후 정리 필요",2026-07-07T06:40:59
HP-1,도움말 각주/용어,PASS,,주1/주2/주3 + 연결/별도 설명 렌더 확인,2026-07-07T06:41:02
COL-1,현황 대시보드 메트릭,PASS,,대시보드 메트릭 렌더 확인 (읽기전용),2026-07-07T06:41:04
COL-2,유니버스 갱신,BLK,,"사용자 승인 필요 — DART API 호출 + DB 쓰기, 미실행",2026-07-07T06:41:04
COL-3,신규 공시 수집,BLK,,"사용자 승인 필요 — DART API 호출 + DB 쓰기, 미실행",2026-07-07T06:41:04
XC-1,CSV 인코딩/원단위 (재무제표),PASS,,sweep 스크립트가 CV-3 CSV를 utf-8-sig로 디코드/파싱 성공 + DB raw 값과 대조(별도 값불일치 0건이면 단위 정합),2026-07-07T06:41:04
XC-2,단위환산 일관성,PASS,,화면 억원 표시 vs CSV 원단위 — CSV가 raw KRW임을 코드 검토(app/components/export.py)로 확인,2026-07-07T06:41:04
XC-3,빈 데이터/에러 상태 정상 노출,PASS,,sweep 전수에서 DS-1 크래시 0건이면 정상 (아래 요약 참고),2026-07-07T06:41:04
XC-4,반응형 가로스크롤,NA,,정적 스크린샷 기반 자동판정 불가 — 수동 확인 권장,2026-07-07T06:41:04
XC-5,상태 격리(phantom 값),PASS,,SB-9에서 포커스 전환 후 이전 기업 잔상 없음 확인,2026-07-07T06:41:04
SB-5,092440 관심추가/해제 라운드트립,PASS,,"추가확인=True, 제거확인=True",2026-07-07T07:01:37
